,Unnamed: 0,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
28640,28640,1398,3,235,1,1,1,0,قیطریه,148936000.0,3.0
28641,28641,1395,4,250,1,1,1,0,سعادت‌آباد، خیابان محمدعلی کشاورز (بیست و چهار متری سعادت آباد),144000000.0,4.0
28642,28642,1395,3,116,1,1,1,0,تهرانپارس غربی,64655000.0,2.0
28643,28643,1394,1,71,1,1,1,0,نظام‌آباد,40845000.0,3.0
28644,28644,1395,2,100,1,1,1,0,تهرانپارس غربی، بزرگراه سردار سلیمانی (رسالت) (خیابان دکتر شریعتی),60000000.0,3.0
28645,28645,1390,2,140,1,1,1,0,محمودیه,121428000.0,2.0
28646,28646,1399,2,113,1,1,1,0,پونک,85398000.0,1.0
28647,28647,1400,3,136,1,1,1,0,جی، کوچه رویایی (خ. سبحانی),33235000.0,1.0
28648,28648,1401,3,191,1,1,1,0,ولنجک,235602000.0,2.0
28649,28649,1380,1,40,1,0,0,0,سعادت‌آباد، خیابان اوین (ب. یادگار امام),100000000.0,0.0
28650,28650,1391,2,110,1,1,1,0,دربند، خیابان فناخسرو (خ. دربند),100000000.0,4.0
28651,28651,1400,3,212,1,1,1,0,فرمانیه,188679000.0,6.0
28652,28652,1400,3,132,1,1,0,0,سهروردی، خیابان شریعتی,55000000.0,3.0
28653,28653,1380,2,81,1,1,1,0,سعادت‌آباد,81481000.0,4.0
28654,28654,1390,2,110,1,1,1,0,ولنجک,110909000.0,9.0
28655,28655,1401,3,179,1,1,1,0,هروی,80000000.0,10.0
28656,28656,1392,3,200,1,1,1,0,امامزاده قاسم,125000000.0,2.0
28657,28657,1397,2,95,1,1,1,0,دریاچه شهدای خلیج فارس,51578000.0,15.0
28658,28658,1384,3,134,1,1,1,0,سازمان برنامه,64179000.0,4.0
28659,28659,1385,1,41,1,1,1,0,جیحون,45121000.0,2.0
28660,28660,1400,2,105,1,1,1,0,شهرک راه‌آهن,60000000.0,7.0
28661,28661,1401,2,90,1,1,1,0,پاسداران,130000000.0,5.0
28662,28662,1401,2,95,1,1,1,0,حکمت,136842000.0,5.0
28663,28663,1385,2,84,1,1,1,0,پونک,52976000.0,3.0
28664,28664,1388,2,80,1,1,1,0,سوهانک,75000000.0,1.0
28665,28665,1399,2,121,1,1,1,0,دهکده المپیک,64000000.0,1.0
28666,28666,1395,3,165,1,1,1,0,مرزداران,102121000.0,5.0
28667,28667,1393,1,59,0,1,1,0,اندیشه (شهر زیبا),26271000.0,1.0
28668,28668,1396,2,127,1,1,1,0,نیاوران، خیابان خداوردی (خ. پور‌ابتهاج),122047000.0,2.0
28669,28669,1401,2,130,1,1,1,0,نیاوران,155384000.0,5.0
28670,28670,1386,2,80,1,1,1,0,یوسف‌آباد,77500000.0,2.0
28671,28671,1391,2,98,1,1,1,0,جنت‌آباد جنوبی,73469000.0,1.0
28672,28672,1401,3,125,1,1,1,0,آهنگ، خیابان ربذه شمالی (بلوار زمزم),58400000.0,3.0
28673,28673,1388,2,106,1,1,1,0,نیلوفر، خیابان هویزه (خ. دکتر شریعتی),73584000.0,6.0
28674,28674,1399,2,110,1,1,1,0,شهر زیبا,59090000.0,2.0
28675,28675,1396,3,140,1,1,0,0,امیر بهادر، خیابان فروزش (خ. ولیعصر),37857000.0,5.0
28676,28676,1401,2,101,1,1,1,0,شهرآرا,83168000.0,1.0
