,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
13403,۱۴۰۱,۲,۱۱۲,1,1,1,0,شهرک نفت (منطقه ۵),۷۴٬۱۰۷٬۰۰۰ ,۶
13404,۱۴۰۰,۲,۱۱۵,1,1,1,0,شهرک نفت (منطقه ۵),۷۸٬۲۶۰٬۰۰۰ ,۷
13405,۱۴۰۱,۲,۱۳۹,1,1,1,0,پونک، بلوار سیمون بولیوار (بزرگراه اشرفی اصفهانی),۶۹٬۰۶۴٬۰۰۰ ,۴
13406,۱۳۸۱,۲,۸۲,0,1,1,0,تهرانپارس غربی,۵۴٬۸۷۸٬۰۰۰ ,۳
13407,۱۳۸۳,۲,۷۳,0,1,1,0,جنت‌آباد شمالی,۵۷٬۵۳۴٬۰۰۰ ,۲
13408,۱۳۸۶,0,۵۵,0,0,0,0,حمزه‌آباد,۳۰٬۰۰۰٬۰۰۰ ,۱
13409,۱۴۰۱,۲,۱۰۱,1,1,1,0,شهران شمالی,۷۵٬۰۰۰٬۰۰۰ ,۴
13410,۱۳۸۶,۲,۶۶,0,1,1,0,وردآورد,۲۳٬۰۳۰٬۰۰۰ ,۴
13411,۱۳۹۳,۴,۳۰۰,1,1,1,0,نیاوران,۱۱۱٬۶۶۶٬۰۰۰ ,۱
13412,۱۴۰۰,۴,۵۱۰,1,1,1,0,نیاوران,۲۷۰٬۰۰۰٬۰۰۰ ,۸
13413,۱۴۰۱,۲,۹۵,1,1,1,0,جنت‌آباد مرکزی,۶۸٬۴۲۱٬۰۰۰ ,۱
13414,۱۳۹۵,۳,۱۱۸,1,1,1,0,یوسف‌آباد,۹۰٬۶۷۷٬۰۰۰ ,۲
13415,۱۳۹۶,۲,۷۲,1,1,1,0,مبارک‌آباد بهشتی,۱۸٬۵۰۰٬۰۰۰ ,۳
13416,۱۳۹۱,۲,۷۵,1,1,1,0,آذربایجان,۵۸٬۰۰۰٬۰۰۰ ,۲
13417,۱۳۸۸,۳,۱۸۰,1,1,1,0,زعفرانیه,۱۴۴٬۴۴۴٬۰۰۰ ,۴
13418,۱۴۰۰,۲,۹۶,1,1,1,0,جنت‌آباد شمالی,۷۲٬۹۱۶٬۰۰۰ ,۱
13419,۱۴۰۰,۳,۱۷۰,1,1,1,0,هروی,۷۸٬۰۰۰٬۰۰۰ ,۹
13420,۱۴۰۱,۲,۱۱۳,1,1,1,0,سرو آزاد,۴۳٬۳۶۲٬۰۰۰ ,۱۸
13421,۱۴۰۱,۳,۲۶۰,1,1,1,0,زعفرانیه,۲۰۰٬۰۰۰٬۰۰۰ ,۴
13422,۱۳۹۱,۳,۱۱۸,1,1,1,0,پونک,۸۶٬۴۴۰٬۰۰۰ ,۱
13423,۱۳۹۲,۲,۱۰۲,1,1,1,0,گیشا (کوی نصر),۹۰٬۰۰۰٬۰۰۰ ,۵
13424,۱۳۹۸,۳,۱۲۰,1,1,1,0,سعادت‌آباد، خیابان آسمان (بلوار سرو غربی),۱۰۵٬۰۰۰٬۰۰۰ ,۳
13425,۱۳۹۳,۲,۷۰,1,1,1,0,خواجه نظام الملک,۴۹٬۷۱۴٬۰۰۰ ,۳
13426,۱۳۸۸,۳,۱۷۵,1,1,1,0,زعفرانیه,۱۲۰٬۰۰۰٬۰۰۰ ,۸
13427,۱۳۸۶,+۴,۶۸۰,0,1,1,1,شهرک غرب,۱۳۸٬۰۰۰٬۰۰۰٬۰۰۰ ,ام
13428,۱۳۸۷,۲,۶۵,1,0,1,0,جیحون,۳۶٬۹۲۳٬۰۰۰ ,۲
