,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
0,1369,0,۳۴,0,0,1,0,میدان انقلاب,۴۴٬۱۱۷٬۰۰۰ ,0
1,۱۳۸۶,۲,۸۰,1,1,1,0,پونک,۷۰٬۰۰۰٬۰۰۰ ,۳
2,۱۳۹۳,۲,۹۲,1,1,1,0,المهدی، خیابان فکوری (خ. زیتون),۷۶٬۸۴۷٬۰۰۰ ,۴
3,۱۴۰۱,۳,۱۳۰,1,1,1,0,سهروردی,۹۰٬۰۰۰٬۰۰۰ ,۳
4,۱۳۹۹,۳,۲۳۰,1,1,1,0,نیاوران,۱۵۲٬۱۷۳٬۰۰۰ ,۶
5,۱۴۰۰,۲,۱۳۰,1,1,1,0,ولنجک,۱۴۲٬۳۰۷٬۰۰۰ ,۳
6,۱۴۰۰,۲,۹۰,1,1,1,0,جنت‌آباد مرکزی,۹۰٬۰۰۰٬۰۰۰ ,۸
7,۱۳۹۸,۳,۱۷۶,1,1,1,0,دولت‌آباد,۳۵٬۰۰۰٬۰۰۰ ,۷
8,۱۳۸۵,۳,۱۸۱,1,1,1,0,الهیه,۱۱۶٬۰۲۲٬۰۰۰ ,۵
9,۱۳۹۵,۲,۱۳۸,1,1,1,0,سعادت‌آباد,۱۰۰٬۰۰۰٬۰۰۰ ,۲
10,۱۴۰۱,۳,۱۲۰,1,1,1,0,دکتر هوشیار,۵۲٬۰۰۰٬۰۰۰ ,۴
11,۱۴۰۱,۱,۶۵,1,1,1,0,باغ فیض,۶۵٬۳۸۴٬۰۰۰ ,۱۱
12,۱۳۸۹,۱,۵۱,0,0,1,0,آذری,۲۵٬۴۹۰٬۰۰۰ ,۴
13,۱۳۹۹,۲,۱۰۷,1,1,1,0,دولت‌آباد,۴۴٬۲۰۵٬۰۰۰ ,۳
14,۱۴۰۰,۲,۹۷,1,1,1,0,دریاچه شهدای خلیج فارس,۴۹٬۴۸۴٬۰۰۰ ,۲۰
15,۱۳۸۲,۲,۱۰۰,0,1,1,0,سازمان برنامه، خیابان سازمان برنامه شمالی (ب. علامه جعفری),۵۵٬۰۰۰٬۰۰۰ ,۲
16,۱۳۷۵,۲,۸۷,0,0,0,0,توحید,۴۲٬۵۲۸٬۰۰۰ ,۳
17,۱۳۹۲,۲,۸۲,1,1,1,0,شهر زیبا,۵۶٬۰۹۷٬۰۰۰ ,۲
18,۱۳۹۴,۳,۱۶۲,1,1,1,0,ولنجک,۱۳۳٬۹۵۰٬۰۰۰ ,۴
19,۱۳۹۹,۲,۱۰۱,1,1,0,0,پیروزی,۵۲٬۴۷۵٬۰۰۰ ,۲
20,۱۴۰۱,۳,۲۰۴,1,1,1,0,اقدسیه,۱۷۶٬۴۷۰٬۰۰۰ ,۲
21,۱۳۸۶,۲,۷۴,0,1,1,0,پونک,۷۱٬۶۲۱٬۰۰۰ ,۱
22,۱۳۸۲,۲,۷۰,0,1,1,0,اباذر، خیابان استاد رحیم جدی (مقداد) (بلوار اباذر),۵۸٬۵۷۱٬۰۰۰ ,۴
23,۱۳۹۹,۲,۸۷,1,1,1,0,تهرانپارس شرقی,۱۹٬۵۴۰٬۰۰۰ ,۹
24,۱۳۹۰,۲,۹۰,1,1,1,0,هروی,۶۵٬۵۵۵٬۰۰۰ ,۴
25,۱۳۹۵,۲,۱۱۰,1,1,1,0,دریاچه شهدای خلیج فارس,۵۰٬۰۰۰٬۰۰۰ ,۸
26,۱۳۸۳,۲,۶۴,0,1,1,0,جنت‌آباد شمالی,۵۳٬۹۰۶٬۰۰۰ ,۳
27,۱۳۸۲,۲,۹۴,0,1,1,0,جنت‌آباد شمالی,۵۷٬۴۴۶٬۰۰۰ ,۱
28,۱۳۹۶,۲,۸۸,1,1,1,0,سلسبیل,۴۷٬۱۵۹٬۰۰۰ ,۴
29,۱۴۰۰,۲,۹۸,1,1,1,0,تهرانپارس شرقی,۱۵٬۰۰۰٬۰۰۰ ,۲
30,۱۳۹۵,۳,۱۳۶,1,1,1,0,سعادت‌آباد,۱۳۹٬۷۰۵٬۰۰۰ ,۵
31,۱۳۸۲,۱,۴۰,0,0,1,0,آذربایجان,۴۴٬۷۵۰٬۰۰۰ ,۳
32,۱۳۹۷,۳,۱۳۵,1,1,1,0,دهکده المپیک,۵۵٬۰۰۰٬۰۰۰ ,۱۶
33,۱۴۰۱,۲,۱۰۸,1,1,1,0,اختیاریه,۱۳۳٬۰۰۰٬۰۰۰ ,۳
34,۱۳۹۷,۳,۱۳۹,1,1,1,0,گیشا (کوی نصر),۶۸٬۳۴۵٬۰۰۰ ,۵
35,۱۴۰۱,۲,۸۵,1,1,1,0,استاد معین,۵۰٬۵۸۸٬۰۰۰ ,۱
36,۱۳۹۸,۲,۸۵,1,1,1,0,حکمت,۹۷٬۶۴۷٬۰۰۰ ,۳
37,۱۳۸۳,۲,۶۵,0,0,1,0,جیحون,۳۸٬۷۶۹٬۰۰۰ ,۲
38,۱۴۰۱,۳,۱۵۵,1,1,1,0,گیشا (کوی نصر),۹۶٬۱۲۹٬۰۰۰ ,۱
39,۱۳۹۶,۲,۱۰۵,1,1,1,0,گیشا (کوی نصر),۸۲٬۳۸۰٬۰۰۰ ,۵
40,۱۴۰۱,۲,۱۷۰,1,1,1,0,گیشا (کوی نصر),۱۲۳٬۵۲۹٬۰۰۰ ,۳
41,۱۴۰۱,۲,۱۱۰,1,1,1,0,دریاچه شهدای خلیج فارس,۳۹٬۰۹۰٬۰۰۰ ,۱
42,۱۳۸۱,۲,۱۰۸,1,0,1,0,سازمان آب,۵۰٬۰۰۰٬۰۰۰ ,۱
43,۱۳۸۱,۲,۷۶,0,1,0,0,شهرک نفت (منطقه ۵),۶۲٬۵۰۰٬۰۰۰ ,۱
44,۱۳۸۶,۴,۲۶۱,0,1,1,1,شهرک غرب,۴۵٬۰۰۰٬۰۰۰٬۰۰۰ ,na
45,۱۳۸۴,۳,۱۵۴,1,1,1,0,جردن,۹۴٬۱۵۵٬۰۰۰ ,۴
46,۱۴۰۱,۳,۱۲۶,1,1,1,0,اباذر,۹۸٬۰۰۰٬۰۰۰ ,۴
47,۱۳۸۸,۲,۶۴,0,1,1,0,پونک,۶۷٬۹۶۸٬۰۰۰ ,۳
48,۱۳۸۲,۲,۹۵,1,1,1,0,ستارخان,۵۶٬۳۱۵٬۰۰۰ ,۱
49,۱۳۹۷,۲,۱۲۳,1,1,1,0,دریاچه شهدای خلیج فارس,۳۹٬۹۱۸٬۰۰۰ ,۲
50,۱۴۰۱,۱,۹۰,1,1,1,0,جردن,۲۵۵٬۵۵۵٬۰۰۰ ,۳
51,۱۳۸۵,۲,۷۸,1,1,1,0,پونک,۷۵٬۶۴۱٬۰۰۰ ,۱
52,۱۳۸۱,۲,۸۴,0,1,1,0,پونک، بلوار میرزابابایی (بلوار سردار جنگل),۶۸٬۴۵۲٬۰۰۰ ,۱
53,۱۴۰۰,۳,۱۵۵,1,1,1,0,مبارک‌آباد بهشتی,۱۶٬۰۰۰٬۰۰۰ ,۲
54,۱۳۸۵,۳,۱۵۸,1,1,1,0,شهرک غرب,۱۴۵٬۵۶۹٬۰۰۰ ,۶
55,۱۳۹۲,۲,۶۵,1,1,0,0,مولوی,۲۳٬۸۴۶٬۰۰۰ ,۱
56,۱۳۸۵,۳,۲۰۰,1,1,1,0,نیاوران,۱۱۵٬۰۰۰٬۰۰۰ ,۵
57,۱۳۸۵,۱,۴۲,1,1,1,0,هاشمی,۴۴٬۰۴۷٬۰۰۰ ,۲
58,۱۳۸۰,۱,۳۳,0,0,1,0,سلیمانی,۴۱٬۸۱۸٬۰۰۰ ,۲
59,۱۳۹۳,۲,۶۴,0,1,1,0,اندیشه (شهر زیبا),۲۳٬۹۰۶٬۰۰۰ ,۱
60,۱۳۷۲,۲,۷۵,0,0,1,0,ستارخان,۳۶٬۶۶۶٬۰۰۰ ,۱
61,۱۳۹۸,۱,۵۰,1,1,1,0,مبارک‌آباد بهشتی,۱۸٬۵۰۰٬۰۰۰ ,۳
62,۱۳۸۶,۲,۱۲۰,1,1,1,0,سعادت‌آباد,۱۰۵٬۰۰۰٬۰۰۰ ,۵
63,۱۳۸۵,۲,۸۰,1,1,1,0,ستارخان، خیابان اسدی (خ. ستارخان),۵۰٬۰۰۰٬۰۰۰ ,۵
64,۱۳۸۶,۳,۱۳۱,1,1,1,0,دریاچه شهدای خلیج فارس,۴۸٬۰۹۱٬۰۰۰ ,۳
65,۱۴۰۱,۲,۹۲,1,1,1,0,استاد معین,۳۸٬۰۴۳٬۰۰۰ ,۴
66,۱۳۸۵,۱,۵۰,1,1,1,0,سازمان برنامه,۷۴٬۰۰۰٬۰۰۰ ,۱
67,۱۴۰۰,۲,۱۰۷,1,1,1,0,شهرک غرب,۸۹٬۷۱۹٬۰۰۰ ,۸
68,۱۴۰۱,۲,۸۲,1,1,1,0,میرداماد، خیابان دکتر شریعتی,۱۱۶٬۵۶۰٬۰۰۰ ,۳
69,۱۴۰۱,۲,۹۶,1,1,1,0,تهران‌سر,۵۴٬۱۶۶٬۰۰۰ ,۱
70,۱۴۰۱,۲,۹۵,1,1,1,0,آذربایجان,۵۳٬۶۸۴٬۰۰۰ ,۵
71,۱۳۹۷,۱,۴۱,1,1,0,0,جی,۴۰٬۰۰۰٬۰۰۰ ,۱
72,۱۴۰۱,۲,۱۰۲,1,1,0,0,جی,۳۶٬۰۰۰٬۰۰۰ ,۳
73,۱۳۹۴,۱,۵۲,1,0,1,0,جیحون,۴۶٬۱۵۳٬۰۰۰ ,۳
74,۱۴۰۰,۲,۱۰۶,1,1,1,0,مبارک‌آباد بهشتی,۱۶٬۸۳۹٬۰۰۰ ,۲
75,۱۳۹۲,۲,۹۳,0,1,1,0,زنجان,۴۶٬۴۵۱٬۰۰۰ ,۲
76,۱۴۰۱,۲,۱۱۵,1,1,1,0,باغ فیض، بزرگراه ستاری,۷۹٬۳۰۴٬۰۰۰ ,۱
77,۱۳۸۵,۱,۵۱,0,0,1,0,سلسبیل,۳۶٬۲۷۴٬۰۰۰ ,۴
78,۱۳۸۲,۲,۶۴,0,1,1,0,پونک، میدان شهید آسترکی (خیابان شاهد),۶۵٬۶۲۵٬۰۰۰ ,۱
79,۱۳۷۵,۱,۵۵,0,0,1,0,تهرانپارس غربی، کوچه دانشور,۵۹٬۰۹۰٬۰۰۰ ,۲
80,۱۴۰۰,۲,۱۰۷,1,1,1,0,پونک,۷۸٬۰۰۰٬۰۰۰ ,۲
81,۱۴۰۱,۳,۱۹۵,1,1,1,0,تهرانپارس غربی,۷۹٬۲۳۰٬۰۰۰ ,۳
82,۱۳۹۱,۱,۴۸,1,1,1,0,اوقاف,۴۸٬۹۵۸٬۰۰۰ ,۳
83,۱۳۸۸,۲,۸۴,1,1,1,0,شهران شمالی,۵۷٬۱۴۲٬۰۰۰ ,۵
84,۱۳۹۵,۲,۹۸,1,1,1,0,فرمانیه,۱۰۶٬۱۲۲٬۰۰۰ ,۵
85,۱۳۹۴,۲,۱۰۸,1,1,1,0,قیطریه,۱۰۶٬۴۸۱٬۰۰۰ ,۳
86,۱۳۹۰,۱,۵۵,1,0,1,0,نارمک,۵۴٬۵۴۵٬۰۰۰ ,۵
87,۱۳۸۱,۲,۹۰,1,1,0,0,مرزداران,۶۶٬۱۱۱٬۰۰۰ ,۵
88,۱۳۸۹,۲,۸۲,1,1,1,0,هروی,۶۲٬۱۹۵٬۰۰۰ ,۱
89,۱۳۸۵,۲,۱۱۵,1,1,1,0,سعادت‌آباد,۹۱٬۳۰۴٬۰۰۰ ,۲
90,۱۳۹۱,۲,۸۰,1,1,1,0,شمس‌آباد,۶۶٬۲۵۰٬۰۰۰ ,۳
91,۱۴۰۱,۲,۹۶,1,1,1,0,شمس‌آباد,۷۵٬۰۰۰٬۰۰۰ ,۳
92,۱۴۰۱,۳,۱۸۸,1,1,1,0,تهران‌نو,۶۳٬۸۲۹٬۰۰۰ ,۱
93,۱۳۸۴,۴,۲۹۸,1,1,1,0,نیاوران,۱۱۴٬۰۹۳٬۰۰۰ ,۶
94,۱۴۰۰,۳,۲۲۲,1,1,1,0,اقدسیه,۱۷۰٬۰۰۰٬۰۰۰ ,۴
95,۱۴۰۰,۳,۲۳۵,1,1,1,0,نیاوران,۱۶۹٬۵۷۴٬۰۰۰ ,۳
96,۱۴۰۱,۳,۱۲۰,1,1,1,0,مجیدیه,۶۴٬۹۱۶٬۰۰۰ ,۴
97,۱۴۰۱,۲,۱۰۰,1,1,1,0,چیتگر,۱۷٬۵۰۰٬۰۰۰ ,۹
98,۱۳۹۵,۱,۴۷,1,0,1,0,شهرک ولیعصر,۳۶٬۱۷۰٬۰۰۰ ,۳
99,۱۳۹۹,۲,۹۰,1,1,1,0,جنت‌آباد جنوبی,۸۱٬۱۱۱٬۰۰۰ ,۲
100,۱۳۹۹,۲,۹۰,1,1,1,0,پونک,۸۱٬۱۱۱٬۰۰۰ ,۲
101,۱۳۹۸,۲,۹۰,1,1,1,0,جنت‌آباد مرکزی,۸۱٬۱۱۱٬۰۰۰ ,۲
102,۱۳۹۸,۲,۹۷,1,1,1,0,مبارک‌آباد بهشتی,۱۷۵٬۰۰۰٬۰۰۰ ,۳
103,۱۴۰۱,۲,۱۰۰,1,1,1,0,چیتگر,۱۲٬۵۰۰٬۰۰۰ ,۶
104,۱۳۹۹,۱,۴۷,1,0,1,0,بریانک,۴۰٬۴۲۵٬۰۰۰ ,۲
105,۱۳۸۹,۲,۶۲,1,0,1,0,باغ خزانه,۳۵٬۴۸۳٬۰۰۰ ,۴
106,۱۳۹۹,۱,۶۰,1,0,1,0,بلورسازی,۳۳٬۳۳۳٬۰۰۰ ,۲
107,۱۳۸۷,۲,۹۵,1,1,1,0,تهرانپارس غربی,۵۶٬۸۴۲٬۰۰۰ ,۲
108,۱۳۷۸,۳,۱۷۲,1,1,1,0,الهیه,۱۰۹٬۳۰۲٬۰۰۰ ,۲
109,۱۴۰۱,۲,۱۲۰,1,1,1,0,دریاچه شهدای خلیج فارس,۱۳۵٬۴۱۶٬۰۰۰ ,۹
110,۱۴۰۱,۳,۱۵۰,1,1,1,0,سعادت‌آباد,۱۶۶٬۶۶۶٬۰۰۰ ,۶
111,۱۳۸۰,۲,۷۲,1,1,1,0,جنت‌آباد جنوبی,۶۲٬۵۰۰٬۰۰۰ ,۱
112,۱۴۰۰,۲,۱۲۲,1,1,1,0,جنت‌آباد مرکزی,۷۵٬۴۰۹٬۰۰۰ ,۵
113,۱۳۹۱,۲,۱۱۶,1,1,1,0,تهرانپارس غربی,۶۶٬۸۱۰٬۰۰۰ ,۲
114,۱۳۸۰,0,۳۵,0,0,1,0,طرشت، خیابان حبیب الله (بزرگراه یادگار امام),۴۴٬۵۷۱٬۰۰۰ ,زی
115,۱۳۹۱,۲,۸۸,1,1,1,0,مرزداران,۷۶٬۷۰۴٬۰۰۰ ,۵
116,۱۴۰۱,۲,۱۲۵,1,1,1,0,سعادت‌آباد,۱۳۰٬۰۰۰٬۰۰۰ ,۶
117,۱۳۸۲,۳,۱۶۵,0,1,1,0,نیرو هوایی,۶۶٬۶۶۶٬۰۰۰ ,۲
118,۱۳۹۵,۲,۷۴,1,0,1,0,جی,۳۴٬۰۵۴٬۰۰۰ ,۳
119,۱۳۸۶,۳,۱۵۵,1,1,1,0,شهرک غرب,۸۰٬۳۲۲٬۰۰۰ ,۲
120,۱۳۸۱,۳,۱۳۶,1,1,1,0,زیبادشت,۴۷٬۰۵۸٬۰۰۰ ,۳
121,۱۴۰۱,۲,۱۰۳,1,1,1,0,سهروردی,۸۵٬۰۰۰٬۰۰۰ ,۴
122,۱۳۹۸,۲,۸۰,1,0,1,0,مبارک‌آباد بهشتی,۱۷٬۰۰۰٬۰۰۰ ,۱
123,۱۳۸۵,۲,۱۰۸,1,1,1,0,تهرانپارس غربی,۵۸٬۳۳۳٬۰۰۰ ,۱
124,۱۴۰۰,۲,۱۱۸,1,1,1,0,ستارخان,۶۹٬۴۹۱٬۰۰۰ ,۳
125,۱۳۸۱,۳,۱۲۰,1,1,0,0,ستارخان,۵۳٬۷۵۰٬۰۰۰ ,۲
126,۱۴۰۰,۲,۱۰۰,1,1,1,0,ستارخان,۶۵٬۰۰۰٬۰۰۰ ,۱
127,۱۳۹۸,۲,۹۵,1,1,1,0,ستارخان,۷۹٬۴۷۳٬۰۰۰ ,۱
128,۱۳۹۴,۲,۸۵,1,0,1,0,ستارخان,۵۲٬۹۴۱٬۰۰۰ ,۲
129,۱۳۹۷,۱,۶۵,0,0,1,0,مبارک‌آباد بهشتی,۱۵٬۰۷۶٬۰۰۰ ,۳
130,۱۳۹۸,۲,۹۳,1,1,1,0,ستارخان,۷۱٬۵۰۵٬۰۰۰ ,۳
131,۱۳۸۱,۳,۱۵۰,1,1,1,0,ولنجک,۶۸٬۰۰۰٬۰۰۰ ,۳
132,۱۳۸۲,۱,۶۲,0,0,1,0,ایران,۲۹٬۶۷۷٬۰۰۰ ,۲
133,۱۴۰۱,۲,۷۸,1,0,1,0,افسریه,۳۶٬۲۸۲٬۰۰۰ ,۲
134,۱۴۰۱,۲,۱۲۰,1,1,1,0,ستارخان,۶۶٬۶۶۶٬۰۰۰ ,۴
135,۱۳۸۵,۲,۸۰,1,1,1,0,مرزداران,۷۶٬۲۵۰٬۰۰۰ ,۴
136,۱۳۸۷,۲,۱۱۴,1,1,1,0,درکه,۵۶٬۱۴۰٬۰۰۰ ,۲
137,۱۳۷۸,۲,۸۰,0,1,1,0,ستارخان,۵۶٬۲۵۰٬۰۰۰ ,۱
138,۱۴۰۱,۳,۲۴۰,1,1,1,0,هروی,۱۰۴٬۱۶۶٬۰۰۰ ,۴
139,۱۳۸۰,۱,۶۱,0,1,1,0,تهران‌سر,۴۴٬۹۱۸٬۰۰۰ ,۱
140,۱۴۰۱,۲,۷۴,1,1,1,0,تهران‌سر,۵۶٬۴۸۶٬۰۰۰ ,۷
141,۱۴۰۱,۲,۱۱۷,1,1,1,0,تهران‌سر,۵۵٬۰۰۰٬۰۰۰ ,۱
142,۱۳۹۵,۱,۴۷,1,1,1,0,استاد معین,۵۷٬۴۴۶٬۰۰۰ ,۴
143,۱۳۹۹,۲,۹۳,1,1,1,0,منیریه,۵۳٬۵۴۸٬۰۰۰ ,۱
144,۱۳۸۳,۲,۶۰,1,1,1,0,سازمان برنامه,۷۳٬۳۳۳٬۰۰۰ ,۳
145,۱۳۹۹,۲,۷۲,0,1,1,0,مبارک‌آباد بهشتی,۲۰٬۷۰۰٬۰۰۰ ,۳
146,۱۴۰۰,۲,۱۰۷,1,1,1,0,پیروزی,۴۰٬۰۰۰٬۰۰۰ ,۲
147,۱۴۰۱,۳,۱۱۵,1,1,1,0,جنت‌آباد شمالی,۷۴٬۷۸۲٬۰۰۰ ,۳
148,۱۳۹۵,۲,۷۰,1,1,0,0,هاشم‌آباد,۲۵٬۰۷۱٬۰۰۰ ,۱
149,۱۴۰۱,۳,۱۴۷,1,1,1,0,پونک,۸۵٬۰۳۴٬۰۰۰ ,۲
150,۱۴۰۱,۳,۱۴۲,1,1,1,0,سعادت‌آباد,۸۹٬۴۳۶٬۰۰۰ ,۳
151,۱۳۹۰,۳,۱۱۵,1,1,1,0,سعادت‌آباد,۱۰۰٬۸۶۹٬۰۰۰ ,۳
152,1369,+۴,۶۰۰,0,1,1,1,الهیه,۱۱۵٬۰۰۰٬۰۰۰٬۰۰۰ ,نو
153,۱۳۹۲,۳,۲۱۸,1,1,1,0,زعفرانیه,۱۸۸٬۰۷۳٬۰۰۰ ,۶
154,۱۴۰۱,۲,۱۱۸,1,1,1,0,جنت‌آباد جنوبی,۷۷٬۹۶۶٬۰۰۰ ,۳
155,۱۳۹۶,۳,۱۴۵,1,1,1,0,جنت‌آباد مرکزی,۶۲٬۰۶۸٬۰۰۰ ,۲
156,۱۴۰۰,۳,۲۰۰,1,1,1,0,اباذر,۹۰٬۰۰۰٬۰۰۰ ,۴
157,۱۳۹۵,۲,۱۲۱,1,1,1,0,یوسف‌آباد، خیابان عظیمی اشک شهر,۷۵٬۶۱۹٬۰۰۰ ,۱
158,۱۳۸۵,۲,۹۵,1,1,1,0,ظفر,۸۱٬۰۵۲٬۰۰۰ ,۲
159,۱۳۹۴,۲,۱۰۰,1,1,1,0,ظفر، بلوار دلیری,۸۰٬۰۰۰٬۰۰۰ ,۲
160,۱۳۹۴,۲,۷۰,1,1,1,0,سازمان برنامه,۷۴٬۲۸۵٬۰۰۰ ,۴
161,۱۴۰۱,۳,۱۳۰,1,1,1,0,شهرک غرب,۱۳۰٬۰۰۰٬۰۰۰ ,۳
162,۱۳۹۳,۲,۷۸,1,0,1,0,پیروزی,۴۵٬۰۰۰٬۰۰۰ ,۲
163,۱۴۰۱,۲,۱۱۰,1,1,1,0,دهکده المپیک,۳۰٬۰۰۰٬۰۰۰ ,۱۱
164,۱۳۹۳,۲,۱۰۰,1,1,1,0,جنت‌آباد جنوبی,۶۳٬۵۰۰٬۰۰۰ ,۳
165,۱۴۰۱,۳,۳۰۷,1,1,1,0,ده‌ونک,۱۴۶٬۵۷۹٬۰۰۰ ,۴
166,۱۳۹۲,+۴,۲۱۵,1,1,1,0,حمزه‌آباد,۳۶٬۰۰۰٬۰۰۰ ,۲
167,۱۳۹۴,۲,۱۱۷,1,1,1,0,مرزداران,۷۶٬۰۶۸٬۰۰۰ ,۴
168,۱۳۸۹,۲,۶۶,1,0,1,0,شمس‌آباد,۵۱٬۵۱۵٬۰۰۰ ,۳
169,۱۳۹۵,۲,۸۱,1,1,1,0,سازمان برنامه,۷۴٬۰۷۴٬۰۰۰ ,۴
170,۱۳۸۸,۲,۸۸,1,1,1,0,شهر زیبا,۶۳٬۶۳۶٬۰۰۰ ,۵
171,۱۳۹۲,۲,۹۰,1,1,1,0,پونک,۸۰٬۰۰۰٬۰۰۰ ,۳
172,۱۳۸۰,۱,۵۸,0,0,1,0,سلامت، خیابان خرمشهر (خ. کمیل),۳۲٬۲۴۱٬۰۰۰ ,۲
173,۱۳۹۵,۲,۸۷,1,1,1,0,سازمان برنامه,۷۲٬۹۸۸٬۰۰۰ ,۲
174,۱۳۸۹,۱,۵۷,1,1,1,0,کوی فردوس,۶۸٬۴۲۱٬۰۰۰ ,۲
175,۱۳۹۲,۳,۲۱۸,1,1,1,0,نیاوران,۱۲۳٬۸۵۳٬۰۰۰ ,۴
176,۱۴۰۱,۳,۱۴۷,1,1,1,0,قیطریه,۹۵٬۰۰۰٬۰۰۰ ,۳
177,۱۳۸۶,۳,۱۲۰,1,1,1,0,نیاوران,۱۱۶٬۳۳۳٬۰۰۰ ,۴
178,۱۴۰۱,۳,۲۷۰,1,1,1,0,پونک,۱۲۲٬۲۲۲٬۰۰۰ ,۴
179,۱۳۹۱,۱,۶۰,0,1,1,0,تهرانپارس غربی,۴۳٬۳۳۳٬۰۰۰ ,۴
180,۱۴۰۱,۲,۱۰۹,1,1,1,0,دریاچه شهدای خلیج فارس,۴۴٬۰۳۶٬۰۰۰ ,۵
181,۱۴۰۰,۲,۸۵,1,1,1,0,جلفا,۹۰٬۵۸۸٬۰۰۰ ,۴
182,۱۳۹۰,۲,۸۵,1,1,1,0,پونک، خیابان عدل جنوبی (ب. همت),۶۶٬۱۱۷٬۰۰۰ ,۱
183,۱۳۹۳,۲,۷۱,1,1,1,0,شهران شمالی,۶۷٬۶۰۵٬۰۰۰ ,۱
184,۱۳۸۷,۲,۷۰,1,1,1,0,کوی فردوس,۵۵٬۷۱۴٬۰۰۰ ,۲
185,۱۳۸۰,۲,۹۰,1,1,1,0,قیطریه,۹۴٬۴۴۴٬۰۰۰ ,۵
186,۱۳۹۳,۱,۶۸,1,0,1,0,پرستار,۵۱٬۴۷۰٬۰۰۰ ,۳
187,۱۳۹۲,۳,۱۸۱,1,1,1,0,زعفرانیه,۲۴۵٬۰۰۰٬۰۰۰ ,۴
188,۱۳۹۳,۲,۸۳,1,1,1,0,جنت‌آباد شمالی,۷۱٬۹۲۷٬۰۰۰ ,۲
189,۱۳۹۶,۱,۵۳,0,1,1,0,اندیشه (شهر زیبا),۲۰٬۳۷۷٬۰۰۰ ,۳
190,۱۴۰۱,۳,۱۵۰,1,1,1,0,تهرانپارس غربی,۹۰٬۰۰۰٬۰۰۰ ,۳
191,۱۴۰۱,۲,۱۲۰,1,1,1,0,جردن,۱۲۰٬۰۰۰٬۰۰۰ ,۲
192,۱۳۸۸,۳,۱۷۶,1,1,1,0,الهیه,۱۶۱٬۹۳۱٬۰۰۰ ,۲
193,۱۳۹۹,۳,۱۳۲,1,1,1,0,کوهک,۴۱٬۶۶۶٬۰۰۰ ,۱۲
194,۱۴۰۱,۳,۱۶۳,1,1,1,0,جردن,۱۲۵٬۰۰۰٬۰۰۰ ,۲
195,۱۴۰۰,۲,۷۲,1,1,1,0,فرمانیه,۱۴۰٬۰۰۰٬۰۰۰ ,۲
196,۱۴۰۰,۲,۹۰,1,1,1,0,قبا,۱۰۵٬۵۵۵٬۰۰۰ ,۳
197,۱۴۰۱,۳,۱۷۵,1,1,1,0,میرداماد,۱۳۴٬۲۸۵٬۰۰۰ ,۴
198,۱۳۸۰,۱,۶۳,0,0,1,0,کوی فردوس,۵۷٬۱۴۲٬۰۰۰ ,۳
199,۱۳۹۵,۱,۵۶,1,1,1,0,کوی فردوس,۷۶٬۷۸۵٬۰۰۰ ,۴
200,۱۴۰۱,۱,۱۸۹,1,1,1,0,پاسداران، میدان حسین آباد,۷۵٬۰۰۰٬۰۰۰ ,۶
201,۱۳۸۵,۲,۸۰,0,0,1,0,پرستار,۳۷٬۵۰۰٬۰۰۰ ,۳
202,۱۳۸۸,۱,۵۷,1,1,1,0,کوی فردوس,۷۶٬۳۱۵٬۰۰۰ ,۳
203,۱۳۹۸,۲,۹۰,1,1,1,0,اقدسیه,۸۰٬۵۵۵٬۰۰۰ ,۱
204,۱۳۸۷,۱,۵۹,1,1,1,0,شهر زیبا,۶۱٬۰۱۶٬۰۰۰ ,۲
205,۱۳۹۷,۳,۲۰۰,1,1,1,0,اقدسیه,۲۳۰٬۰۰۰٬۰۰۰ ,۶
206,۱۴۰۱,۲,۱۰۰,1,1,1,0,دریاچه شهدای خلیج فارس,۱۳٬۵۰۰٬۰۰۰ ,۶
207,۱۳۹۵,۲,۹۵,1,1,1,0,کن,۲۴٬۲۱۰٬۰۰۰ ,۳
208,1369,۲,۱۶۲,1,1,1,0,میدان ولیعصر، بلوار کریمخان (خیابان حافظ),۴۱٬۰۴۹٬۰۰۰ ,۳
209,۱۴۰۱,۲,۸۲,1,1,1,0,منیریه,۳۶٬۰۰۰٬۰۰۰ ,۴
210,۱۳۹۰,۱,۵۶,1,1,1,0,نارمک,۶۶٬۷۸۵٬۰۰۰ ,۳
211,۱۳۹۵,۳,۱۹۶,1,1,1,0,اختیاریه,۸۶٬۷۳۴٬۰۰۰ ,۱
212,۱۳۹۷,۳,۱۳۵,1,1,1,0,شهرک صدرا,۴۵٬۱۸۵٬۰۰۰ ,۱۶
213,۱۳۹۳,۲,۱۰۸,1,1,1,0,قیطریه,۹۱٬۶۶۶٬۰۰۰ ,۳
214,۱۳۹۵,۲,۷۲,1,0,1,0,زنجان,۴۵٬۰۰۰٬۰۰۰ ,۳
215,۱۴۰۰,۲,۱۰۰,1,1,1,0,درب دوم,۱۴۰٬۰۰۰٬۰۰۰ ,۲
216,۱۳۸۳,۲,۸۳,1,0,1,0,خزانه,۲۲٬۲۸۹٬۰۰۰ ,۴
217,۱۳۸۰,۱,۳۶,0,0,1,0,امیریه، کوچه میر کاظمیان (خ. ولیعصر),۳۷٬۵۰۰٬۰۰۰ ,۱
